INFO 2012-01-18 15:37:11,357 140769842630411: Imported successfully as Manchester Academic Charter School
INFO 2012-01-18 15:37:11,385 142712869109186: Imported successfully as Ronald McDonald House
INFO 2012-01-18 15:37:11,395 232665076758933: Imported successfully as T.G.I.Fridays
INFO 2012-01-18 15:37:11,409 126421764084997: Imported successfully as Georgetown Inn
INFO 2012-01-18 15:37:11,416 106769412725915: Imported successfully as Carnegie Mellon University
INFO 2012-01-18 15:37:11,429 188973034447251: Imported successfully as Dr. Kazew
INFO 2012-01-18 15:37:11,438 176848845732108: Imported successfully as Dr. Udekwu
INFO 2012-01-18 15:37:11,445 106192336105351: Imported successfully as West Liberty Elementary School
INFO 2012-01-18 15:37:11,452 111729708864882: Imported successfully as Cefalo's Restaurant & Nightclub
INFO 2012-01-18 15:37:11,459 113386558694162: Imported successfully as Stanton Heights United Methodist Church
INFO 2012-01-18 15:37:11,467 157252321010159: Imported successfully as The Fieldhouse
INFO 2012-01-18 15:37:11,478 32767836552: Imported successfully as Vivisimo, Inc.
INFO 2012-01-18 15:37:11,486 108091512552068: Imported successfully as Fort Wayne Railroad Bridge
INFO 2012-01-18 15:37:11,493 141443982558835: Imported successfully as Work
INFO 2012-01-18 15:37:11,500 126920407355386: Imported successfully as Duke's Rib House & Grille
INFO 2012-01-18 15:37:11,508 155821287764249: Imported successfully as Dean's of Shadyside Salon
INFO 2012-01-18 15:37:11,521 153798894634245: Imported successfully as Work
INFO 2012-01-18 15:37:11,530 134689816607883: Imported successfully as Pilates Sol
INFO 2012-01-18 15:37:11,537 175373772505575: Imported successfully as California Nails
INFO 2012-01-18 15:37:11,551 167627446619362: Imported successfully as Mr Jacks
INFO 2012-01-18 15:37:11,562 167583323266870: Imported successfully as The Frick Building
INFO 2012-01-18 15:37:11,569 302969886382349: Imported successfully as North Country Brewing
INFO 2012-01-18 15:37:11,576 129341020445709: Imported successfully as The Wine Loft
INFO 2012-01-18 15:37:11,612 109590789107790: Imported successfully as Izazzu
INFO 2012-01-18 15:37:11,618 145506675480077: Imported successfully as Va hospital
INFO 2012-01-18 15:37:11,626 165248408846: Imported successfully as Queen City Lacrosse
INFO 2012-01-18 15:37:11,648 107236159336978: Imported successfully as Dirty Harry's Saloon (a.k.a.Ref's)
INFO 2012-01-18 15:37:11,656 143937319011844: Imported successfully as Joe's Crabshack, Robinson Pa
INFO 2012-01-18 15:37:11,682 185354838163222: Imported successfully as Crane armory
INFO 2012-01-18 15:37:11,693 120155387996288: Imported successfully as Mandy's Pizza and More of West View
INFO 2012-01-18 15:37:11,699 102695666474191: Imported successfully as G and Co Design Studio
INFO 2012-01-18 15:37:11,708 120551631294055: Imported successfully as North Hills and South Hills Beauty Academy
INFO 2012-01-18 15:37:11,714 183282081711202: Imported successfully as L.A. Fitness
INFO 2012-01-18 15:37:11,722 152830994729502: Imported successfully as The Crib
INFO 2012-01-18 15:37:11,730 131898576870934: Imported successfully as pittsburgh international airport
INFO 2012-01-18 15:37:11,760 151724081508056: Imported successfully as Robert Lee Vann Elementary School
INFO 2012-01-18 15:37:11,769 63335184024: Imported successfully as Friends of the Riverfront
INFO 2012-01-18 15:37:11,777 102633283157051: Imported successfully as Kohls
INFO 2012-01-18 15:37:11,785 120515757959867: Imported successfully as Fernando's Cafe
INFO 2012-01-18 15:37:11,800 248094078534826: Imported successfully as Giant Eagle / OK Grocery - Pittsburgh, PA
INFO 2012-01-18 15:37:11,812 203232976364697: Imported successfully as Sisters Beauty Supply
INFO 2012-01-18 15:37:11,819 104955099548252: Imported successfully as Duchons Tae Kwon DO
INFO 2012-01-18 15:37:11,826 167805203266688: Imported successfully as Southside Works Movie Theater
INFO 2012-01-18 15:37:11,833 166295613396365: Imported successfully as The Drawing Room Tattoo Parlour & Gallery
INFO 2012-01-18 15:37:11,846 140095156030419: Imported successfully as Allen Chapel African Methodist Episcopal Church
INFO 2012-01-18 15:37:11,854 145796638775157: Imported successfully as Shadyside School of Nursing
INFO 2012-01-18 15:37:11,877 250768844952446: Imported successfully as Local Bar SouthSideeee
INFO 2012-01-18 15:37:11,886 117654981594339: Imported successfully as Fourth Avenue Cafe Incorporate
INFO 2012-01-18 15:37:11,895 194451753932633: Imported successfully as auto zone
INFO 2012-01-18 15:37:11,902 161478587227554: Imported successfully as The University Club at The University Of Pittsburgh
INFO 2012-01-18 15:37:11,909 175588025804975: Imported successfully as Hookah bookah
INFO 2012-01-18 15:37:11,916 113920711971803: Imported successfully as Big Mama's House of Soul
INFO 2012-01-18 15:37:11,971 102375646482494: Imported successfully as LOCAL TOW - Pittsburgh
INFO 2012-01-18 15:37:11,981 167908139934384: Imported successfully as Art All Night
INFO 2012-01-18 15:37:11,989 284064528277200: Imported successfully as Millvale Volunteer Fire Department (Station 191)
INFO 2012-01-18 15:37:11,997 120320251317335: Imported successfully as Htr Inc
INFO 2012-01-18 15:37:12,005 130438343644137: Imported successfully as C.V.M Y.C A.O.W ND C.E.D STACC N FLIP 1.0.5
INFO 2012-01-18 15:37:12,039 114684111881007: Imported successfully as Dale Carnegie Training of Western & Central PA
INFO 2012-01-18 15:37:12,055 370077475586: Imported successfully as Mr. John
INFO 2012-01-18 15:37:12,064 134193296633864: Imported successfully as Kuhn's
INFO 2012-01-18 15:37:12,073 178320395547857: Imported successfully as Advantage Rental INC
INFO 2012-01-18 15:37:12,335 149570167308: Imported successfully as Utrecht Art Supplies - Pittsburgh Store
INFO 2012-01-18 15:37:12,378 195397387167296: Imported successfully as Kennedy Township
INFO 2012-01-18 15:37:12,385 115894038431614: Imported successfully as Little Caesars Pizza
INFO 2012-01-18 15:37:12,392 148458441846034: Imported successfully as Dollar Eagle Discounts
INFO 2012-01-18 15:37:12,399 125459387498649: Imported successfully as Storms Restaurant & Lounge
INFO 2012-01-18 15:37:12,407 136491889759550: Imported successfully as Duquesne Club - Pittsburgh
INFO 2012-01-18 15:37:12,415 161330583954429: Imported successfully as K's Quality Cleaning
