INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 203232976364697
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 104955099548252
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 167805203266688
INFO 2012-01-18 22:25:15,445 Importing events for Facebook page 166295613396365
INFO 2012-01-18 22:25:15,445 Importing events for Facebook page 140095156030419
INFO 2012-01-18 22:25:15,446 Importing events for Facebook page 145796638775157
INFO 2012-01-18 22:25:15,446 Importing events for Facebook page 250768844952446
INFO 2012-01-18 22:25:15,447 Importing events for Facebook page 117654981594339
INFO 2012-01-18 22:25:15,447 Importing events for Facebook page 194451753932633
INFO 2012-01-18 22:25:15,447 Importing events for Facebook page 161478587227554
INFO 2012-01-18 22:25:15,447 Importing events for Facebook page 175588025804975
INFO 2012-01-18 22:25:15,447 Importing events for Facebook page 113920711971803
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 102375646482494
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 167908139934384
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 284064528277200
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 120320251317335
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 130438343644137
INFO 2012-01-18 22:25:15,448 Importing events for Facebook page 114684111881007
INFO 2012-01-18 22:25:15,449 Importing events for Facebook page 370077475586
INFO 2012-01-18 22:25:15,449 Importing events for Facebook page 134193296633864
INFO 2012-01-18 22:25:15,449 Importing events for Facebook page 178320395547857
INFO 2012-01-18 22:25:15,450 Importing events for Facebook page 149570167308
INFO 2012-01-18 22:25:15,450 Importing events for Facebook page 195397387167296
INFO 2012-01-18 22:25:15,451 Importing events for Facebook page 115894038431614
INFO 2012-01-18 22:25:15,454 Importing events for Facebook page 148458441846034
INFO 2012-01-18 22:25:15,454 Importing events for Facebook page 125459387498649
INFO 2012-01-18 22:25:15,454 Importing events for Facebook page 136491889759550
INFO 2012-01-18 22:25:19,462 Importing events for Facebook page 161330583954429
ERROR 2012-01-18 22:25:19,462 267168023330673: 'role_type' is an invalid keyword argument for this function
INFO 2012-01-18 22:25:19,463 Importing events for Facebook page 138514179535384
INFO 2012-01-18 22:25:19,463 Importing events for Facebook page 153854531293362
INFO 2012-01-18 22:25:19,463 Importing events for Facebook page 131275319256
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 152255518124602
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 147741875257105
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 126311060772411
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 116982878368559
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 181150288633488
INFO 2012-01-18 22:25:19,464 Importing events for Facebook page 102237666485449
INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 221561024537121
INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 255057277858934
INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 120591414620575
